Region,Season,Crop,Production (tons),Area (hectares),Yield Ratio
Bagmati,Summer (Monsoon),Mustard,6043,270,4.69
Lumbini,Winter,Potato,8449,378,1.0
Sudurpashchim,Spring,Potato,1702,709,0.85
Lumbini,Winter,Mustard,7429,533,2.03
Sudurpashchim,Whole Year,Rice,5951,872,4.05
Province 1,Summer (Monsoon),Maize,1063,805,2.55
Province 1,Spring,Potato,5029,283,0.91
Lumbini,Spring,Rice,6848,558,4.84
Madhesh,Spring,Millet,6787,10,0.79
Bagmati,Spring,Mustard,314,34,3.32
Gandaki,Winter,Maize,5045,293,2.97
Sudurpashchim,Whole Year,Wheat,528,622,1.12
Lumbini,Summer (Monsoon),Wheat,9348,13,4.32
Lumbini,Summer (Monsoon),Lentil,2098,306,3.48
Province 1,Summer (Monsoon),Wheat,9639,693,1.48
Sudurpashchim,Spring,Millet,753,211,2.19
Bagmati,Summer (Monsoon),Mustard,7533,459,2.66
Lumbini,Winter,Millet,1109,87,3.25
Sudurpashchim,Spring,Mustard,2654,426,4.8
Bagmati,Winter,Rice,7057,87,0.85
Province 1,Whole Year,Millet,1661,437,2.0
Lumbini,Spring,Mustard,1995,60,1.72
Karnali,Spring,Barley,5404,259,1.53
Bagmati,Summer (Monsoon),Barley,3418,35,3.8
Province 1,Spring,Maize,7179,418,4.84
Bagmati,Whole Year,Maize,2605,517,4.27
Bagmati,Summer (Monsoon),Rice,5505,691,2.67
Lumbini,Winter,Lentil,7977,208,1.93
Karnali,Spring,Millet,6962,42,4.85
Province 1,Spring,Maize,8758,156,1.62
Madhesh,Spring,Wheat,319,412,4.57
Province 1,Whole Year,Rice,341,192,2.77
Province 1,Winter,Millet,1501,4,1.68
Gandaki,Whole Year,Wheat,1694,948,2.56
Gandaki,Spring,Maize,4323,71,1.12
Karnali,Spring,Potato,8077,975,4.89
Sudurpashchim,Spring,Lentil,4338,912,2.06
Lumbini,Summer (Monsoon),Potato,6260,217,3.67
Madhesh,Spring,Rice,6620,616,0.67
Lumbini,Winter,Millet,8113,952,2.48
Gandaki,Whole Year,Potato,1798,719,2.84
Lumbini,Spring,Mustard,9996,647,3.88
Karnali,Spring,Millet,5708,517,3.88
Province 1,Winter,Wheat,9718,553,3.51
Bagmati,Winter,Wheat,5175,370,2.8
Madhesh,Whole Year,Mustard,3070,105,2.39
Lumbini,Summer (Monsoon),Lentil,7687,606,1.76
Sudurpashchim,Summer (Monsoon),Millet,7521,656,3.62
Province 1,Whole Year,Mustard,2896,421,3.04
Lumbini,Whole Year,Lentil,6234,292,3.22
Gandaki,Whole Year,Barley,707,243,4.82
Karnali,Spring,Rice,2784,252,4.59
Gandaki,Whole Year,Mustard,2894,702,2.73
Sudurpashchim,Spring,Millet,5904,931,2.19
Gandaki,Spring,Maize,142,26,1.76
Karnali,Spring,Barley,7158,483,1.51
Sudurpashchim,Spring,Millet,9995,407,0.66
Province 1,Whole Year,Barley,8885,896,4.68
Gandaki,Whole Year,Mustard,2796,445,4.01
Sudurpashchim,Winter,Wheat,7478,53,2.25
Gandaki,Winter,Mustard,695,521,0.56
Karnali,Winter,Wheat,6169,157,1.85
Bagmati,Whole Year,Millet,1392,440,3.71
Bagmati,Spring,Rice,5537,862,1.75
Sudurpashchim,Winter,Rice,4483,400,1.78
Province 1,Spring,Millet,337,758,1.18
Province 1,Whole Year,Wheat,7551,418,2.91
Province 1,Summer (Monsoon),Barley,5507,152,1.82
Bagmati,Spring,Barley,1211,575,2.39
Gandaki,Winter,Millet,830,167,0.62
Province 1,Summer (Monsoon),Wheat,8372,469,2.85
Sudurpashchim,Spring,Mustard,1785,106,4.59
Province 1,Summer (Monsoon),Lentil,5335,508,4.04
Province 1,Summer (Monsoon),Mustard,7360,189,2.27
Lumbini,Spring,Lentil,3532,26,0.84
Gandaki,Summer (Monsoon),Mustard,6900,390,0.76
Province 1,Spring,Lentil,4326,384,1.14
Gandaki,Summer (Monsoon),Maize,3835,391,3.01
Bagmati,Spring,Potato,6194,288,4.61
Bagmati,Summer (Monsoon),Barley,6846,820,3.47
Province 1,Winter,Millet,8801,386,4.76
Gandaki,Winter,Barley,3851,858,1.73
Lumbini,Winter,Millet,4857,23,4.75
Madhesh,Spring,Maize,2502,924,2.29
Bagmati,Summer (Monsoon),Millet,6949,61,1.26
Madhesh,Spring,Maize,7878,238,2.57
Karnali,Winter,Maize,2269,718,4.74
Province 1,Winter,Barley,2680,437,4.8
Madhesh,Whole Year,Maize,855,231,4.28
Madhesh,Whole Year,Lentil,9070,64,4.65
Sudurpashchim,Spring,Lentil,5647,177,1.27
Bagmati,Spring,Maize,3412,476,3.99
Madhesh,Spring,Wheat,2395,614,3.31
Bagmati,Whole Year,Millet,3048,493,1.91
Karnali,Spring,Maize,2127,477,4.32
Province 1,Whole Year,Mustard,9994,870,1.65
Madhesh,Spring,Millet,1836,175,1.63
Lumbini,Summer (Monsoon),Wheat,4975,65,1.49
Province 1,Spring,Rice,6322,482,2.42
Province 1,Winter,Rice,3290,1,2.49
Gandaki,Spring,Barley,2029,333,2.18
Province 1,Spring,Barley,7360,460,2.55
Lumbini,Summer (Monsoon),Mustard,1868,769,4.3
Lumbini,Spring,Mustard,991,650,4.51
Sudurpashchim,Winter,Mustard,5344,318,2.88
Karnali,Spring,Maize,2479,546,1.6
Lumbini,Summer (Monsoon),Barley,4686,833,4.58
Bagmati,Summer (Monsoon),Barley,1554,792,3.67
Sudurpashchim,Winter,Wheat,9331,36,4.71
Bagmati,Winter,Rice,7736,397,3.99
Madhesh,Whole Year,Lentil,7636,849,0.74
Karnali,Whole Year,Maize,9856,606,4.07
Sudurpashchim,Spring,Lentil,330,92,3.53
Madhesh,Spring,Millet,1157,144,1.21
Sudurpashchim,Summer (Monsoon),Lentil,5785,827,4.29
Madhesh,Whole Year,Potato,8774,402,0.93
Madhesh,Spring,Millet,748,316,3.74
Madhesh,Winter,Mustard,8943,116,0.81
Sudurpashchim,Winter,Mustard,187,901,2.93
Bagmati,Summer (Monsoon),Wheat,1015,349,3.27
Province 1,Winter,Maize,6188,879,3.94
Bagmati,Whole Year,Maize,2393,292,2.26
Province 1,Spring,Lentil,2007,921,3.8
Bagmati,Whole Year,Rice,8443,577,1.79
Karnali,Summer (Monsoon),Lentil,975,306,2.21
Bagmati,Whole Year,Potato,3339,350,1.95
Province 1,Winter,Rice,3218,578,4.72
Karnali,Summer (Monsoon),Lentil,6581,596,1.59
Karnali,Winter,Maize,8109,591,0.93
Bagmati,Summer (Monsoon),Maize,4091,624,4.52
Sudurpashchim,Whole Year,Lentil,4167,526,4.4
Province 1,Whole Year,Maize,8741,126,1.36
Bagmati,Whole Year,Wheat,1959,311,4.02
Province 1,Summer (Monsoon),Lentil,3037,766,3.65
Lumbini,Whole Year,Maize,785,329,0.69
Madhesh,Spring,Maize,4521,383,1.96
Sudurpashchim,Summer (Monsoon),Barley,2640,375,2.47
Karnali,Summer (Monsoon),Lentil,2635,753,3.47
Sudurpashchim,Summer (Monsoon),Rice,363,920,0.66
Lumbini,Winter,Wheat,2982,130,4.09
Madhesh,Summer (Monsoon),Rice,1512,264,2.49
Gandaki,Summer (Monsoon),Mustard,4325,855,4.61
Karnali,Spring,Barley,3417,100,4.09
Lumbini,Spring,Potato,2521,662,0.55
Province 1,Summer (Monsoon),Potato,1286,878,2.02
Bagmati,Summer (Monsoon),Mustard,3803,146,1.93
Lumbini,Winter,Lentil,1693,515,3.84
Province 1,Winter,Lentil,9338,616,2.3
Karnali,Spring,Lentil,2245,648,0.83
Sudurpashchim,Summer (Monsoon),Rice,1758,25,3.16
Sudurpashchim,Winter,Potato,7917,530,3.38
Lumbini,Spring,Potato,7916,449,4.6
Lumbini,Spring,Rice,2533,508,2.28
Province 1,Winter,Mustard,7263,784,4.64
Madhesh,Winter,Lentil,1486,357,2.74
Province 1,Whole Year,Mustard,7867,269,4.42
Madhesh,Spring,Rice,6971,975,2.63
Lumbini,Winter,Mustard,4018,298,1.69
Karnali,Spring,Wheat,2019,893,4.42
Province 1,Spring,Wheat,6602,67,1.23
Lumbini,Winter,Potato,9850,106,4.31
Bagmati,Summer (Monsoon),Mustard,7882,216,2.6
Madhesh,Spring,Millet,4906,325,2.85
Gandaki,Summer (Monsoon),Barley,3400,360,2.55
Gandaki,Winter,Maize,3781,647,1.96
Province 1,Spring,Mustard,3288,615,1.66
Karnali,Spring,Maize,1275,65,3.9
Lumbini,Spring,Lentil,2334,949,4.63
Sudurpashchim,Summer (Monsoon),Millet,7043,960,2.43
Bagmati,Whole Year,Millet,1022,986,2.03
Lumbini,Spring,Maize,2257,37,4.26
Sudurpashchim,Summer (Monsoon),Barley,3194,86,4.05
Province 1,Summer (Monsoon),Lentil,9723,463,2.63
Bagmati,Winter,Potato,1922,70,0.68
Karnali,Winter,Maize,279,757,4.05
Madhesh,Winter,Lentil,2961,106,3.32
Gandaki,Winter,Potato,5564,240,1.54
Gandaki,Winter,Maize,6559,713,3.26
Lumbini,Whole Year,Mustard,1276,175,4.18
Province 1,Summer (Monsoon),Rice,4375,979,2.96
Madhesh,Winter,Barley,6187,755,2.62
Province 1,Whole Year,Rice,9654,579,1.77
Province 1,Whole Year,Millet,5606,364,2.91
Madhesh,Summer (Monsoon),Wheat,1940,453,1.16
Sudurpashchim,Summer (Monsoon),Millet,4855,915,1.06
Karnali,Whole Year,Maize,262,290,4.48
Lumbini,Summer (Monsoon),Rice,8882,318,0.7
Karnali,Winter,Wheat,3206,933,2.84
Province 1,Winter,Rice,5273,998,3.95
Bagmati,Whole Year,Millet,3561,846,4.25
Sudurpashchim,Winter,Mustard,309,975,1.51
Bagmati,Summer (Monsoon),Wheat,176,458,3.98
Lumbini,Whole Year,Rice,5184,137,3.31
Province 1,Whole Year,Barley,1306,166,3.79
Madhesh,Whole Year,Barley,2544,650,0.52
Sudurpashchim,Whole Year,Millet,7768,699,3.3
Bagmati,Summer (Monsoon),Lentil,8292,347,3.17
Province 1,Summer (Monsoon),Barley,5728,635,2.06
Bagmati,Whole Year,Wheat,2844,440,4.72
Gandaki,Spring,Lentil,5030,524,1.9
Bagmati,Spring,Mustard,8809,701,3.19
Sudurpashchim,Whole Year,Wheat,9579,777,4.7
Madhesh,Spring,Maize,9548,861,0.81
Province 1,Spring,Barley,6483,598,0.61
Karnali,Summer (Monsoon),Rice,8634,999,1.21
Province 1,Whole Year,Millet,340,853,3.5
Lumbini,Spring,Wheat,359,669,3.71
Province 1,Spring,Mustard,5126,784,3.94
Gandaki,Summer (Monsoon),Potato,1429,945,2.33
Sudurpashchim,Whole Year,Millet,8640,269,3.69
Bagmati,Winter,Barley,1029,815,3.8
Gandaki,Summer (Monsoon),Millet,9241,703,3.07
Lumbini,Summer (Monsoon),Potato,1168,820,2.41
Madhesh,Whole Year,Rice,4117,887,1.13
Karnali,Spring,Millet,7812,923,1.19
Karnali,Summer (Monsoon),Rice,7093,833,4.93
Karnali,Whole Year,Rice,2093,59,4.98
Province 1,Winter,Barley,5232,373,1.88
Province 1,Summer (Monsoon),Wheat,8842,632,3.94
Bagmati,Summer (Monsoon),Maize,8864,360,2.32
Province 1,Whole Year,Wheat,8374,916,4.25
Lumbini,Winter,Wheat,1424,971,4.07
Bagmati,Spring,Lentil,9047,610,4.43
Sudurpashchim,Winter,Potato,7962,447,2.37
Bagmati,Spring,Wheat,7334,29,4.06
Bagmati,Spring,Mustard,4225,196,0.88
Karnali,Summer (Monsoon),Potato,5445,472,2.14
Madhesh,Summer (Monsoon),Mustard,740,292,2.02
Madhesh,Summer (Monsoon),Mustard,7970,136,3.51
Madhesh,Summer (Monsoon),Maize,7546,585,3.38
Province 1,Spring,Barley,9164,54,3.12
Gandaki,Summer (Monsoon),Barley,3030,58,0.88
Bagmati,Summer (Monsoon),Barley,9073,983,1.42
Karnali,Whole Year,Barley,3320,299,1.8
Karnali,Whole Year,Mustard,6963,678,2.16
Bagmati,Whole Year,Millet,3428,262,1.89
Karnali,Summer (Monsoon),Barley,4310,526,1.59
Sudurpashchim,Whole Year,Lentil,4570,591,0.85
Karnali,Spring,Millet,4311,767,1.94
Madhesh,Whole Year,Maize,7447,541,2.32
Karnali,Whole Year,Barley,672,56,2.74
Sudurpashchim,Summer (Monsoon),Wheat,5812,869,1.24
Karnali,Whole Year,Rice,9991,709,3.83
Province 1,Whole Year,Lentil,3077,637,0.71
Gandaki,Spring,Lentil,6991,538,4.33
Gandaki,Spring,Potato,8563,946,2.78
Gandaki,Winter,Wheat,2842,144,2.31
Gandaki,Winter,Millet,5688,844,4.31
Madhesh,Winter,Mustard,5649,821,0.89
Sudurpashchim,Winter,Rice,4020,816,3.62
Gandaki,Spring,Lentil,1680,454,3.97
Gandaki,Whole Year,Lentil,7004,721,2.68
Gandaki,Spring,Barley,9721,620,0.7
Gandaki,Whole Year,Rice,8912,262,4.07
Sudurpashchim,Whole Year,Barley,9993,673,2.96
Province 1,Spring,Millet,4587,766,0.81
Karnali,Summer (Monsoon),Rice,8731,272,4.4
Bagmati,Winter,Barley,1964,674,1.53
Province 1,Whole Year,Rice,841,842,2.8
Province 1,Spring,Lentil,797,937,2.96
Bagmati,Whole Year,Wheat,6802,657,3.99
Sudurpashchim,Summer (Monsoon),Wheat,7380,186,1.94
Province 1,Summer (Monsoon),Millet,9287,257,1.74
Karnali,Spring,Barley,8185,999,3.82
Karnali,Summer (Monsoon),Barley,5417,871,4.25
Bagmati,Summer (Monsoon),Lentil,3596,728,4.26
Karnali,Whole Year,Barley,9465,300,3.18
Madhesh,Whole Year,Maize,3076,898,2.4
Sudurpashchim,Winter,Potato,8107,289,3.94
Gandaki,Winter,Potato,4813,701,2.76
Sudurpashchim,Whole Year,Mustard,3745,350,1.07
Lumbini,Winter,Lentil,5511,913,0.84
Lumbini,Winter,Lentil,4319,513,0.89
Madhesh,Winter,Wheat,2450,241,1.92
Province 1,Spring,Potato,2665,521,1.84
Sudurpashchim,Winter,Barley,3358,255,4.26
Lumbini,Winter,Lentil,7782,335,4.5
Karnali,Winter,Maize,1288,284,0.53
Province 1,Winter,Mustard,8027,229,1.16
Karnali,Summer (Monsoon),Mustard,4779,559,2.16
Madhesh,Whole Year,Potato,4874,181,2.09
Madhesh,Winter,Barley,2045,621,4.43
Karnali,Winter,Lentil,446,15,2.07
Province 1,Winter,Maize,3383,881,1.22
Lumbini,Spring,Potato,7118,592,2.69
Madhesh,Winter,Mustard,5202,469,3.05
Province 1,Whole Year,Wheat,7529,563,4.19
Bagmati,Winter,Mustard,3969,203,2.44
Bagmati,Winter,Barley,2907,305,1.14
Sudurpashchim,Spring,Rice,3618,361,4.79
Province 1,Summer (Monsoon),Millet,7009,484,2.25
Gandaki,Spring,Lentil,4783,858,3.79
Gandaki,Summer (Monsoon),Wheat,9763,148,1.69
Lumbini,Summer (Monsoon),Wheat,5340,204,4.25
Karnali,Whole Year,Wheat,7355,998,4.55
Province 1,Spring,Potato,7271,259,3.69
Lumbini,Whole Year,Lentil,3780,993,2.57
Bagmati,Spring,Wheat,2138,452,2.89
Sudurpashchim,Spring,Mustard,3021,314,2.63
Province 1,Summer (Monsoon),Rice,3337,242,1.22
Sudurpashchim,Winter,Millet,7827,987,2.97
Bagmati,Summer (Monsoon),Mustard,3480,565,2.51
Karnali,Whole Year,Barley,5012,553,1.08
Province 1,Spring,Maize,3492,529,1.16
Sudurpashchim,Whole Year,Lentil,4766,779,0.64
Karnali,Winter,Wheat,8529,147,4.56
Bagmati,Summer (Monsoon),Barley,3980,612,3.06
Lumbini,Spring,Lentil,4548,167,3.4
Sudurpashchim,Whole Year,Potato,7691,485,0.78
Madhesh,Summer (Monsoon),Wheat,4786,199,1.07
Lumbini,Summer (Monsoon),Barley,9795,569,0.79
Karnali,Summer (Monsoon),Millet,2735,938,1.09
Bagmati,Winter,Barley,380,322,3.39
Karnali,Winter,Maize,4084,776,4.54
Bagmati,Whole Year,Millet,6292,33,2.26
Lumbini,Spring,Maize,4259,774,2.71
Bagmati,Summer (Monsoon),Barley,3840,745,2.0
Sudurpashchim,Summer (Monsoon),Maize,9281,645,4.04
Province 1,Spring,Wheat,5235,385,1.57
Lumbini,Winter,Millet,5741,193,2.24
Province 1,Summer (Monsoon),Mustard,1672,733,4.09
Madhesh,Winter,Millet,1123,878,4.51
Lumbini,Winter,Mustard,5721,875,1.04
Madhesh,Summer (Monsoon),Potato,2459,490,2.07
Bagmati,Winter,Lentil,841,655,3.58
Bagmati,Spring,Maize,265,108,4.67
Province 1,Winter,Barley,852,883,4.01
Karnali,Whole Year,Millet,5137,721,1.84
Madhesh,Spring,Millet,2869,975,0.5
Bagmati,Whole Year,Maize,7068,211,3.87
Lumbini,Winter,Millet,8270,406,2.5
Gandaki,Summer (Monsoon),Barley,1794,801,1.19
Karnali,Whole Year,Lentil,6025,203,4.04
Madhesh,Summer (Monsoon),Millet,7284,596,2.88
Province 1,Spring,Rice,122,598,0.69
Sudurpashchim,Summer (Monsoon),Mustard,2098,571,4.02
Gandaki,Summer (Monsoon),Lentil,6886,491,4.91
Bagmati,Winter,Millet,2884,152,3.84
Madhesh,Whole Year,Mustard,5345,993,3.54
Province 1,Whole Year,Lentil,7731,349,2.79
Madhesh,Winter,Wheat,9099,801,2.15
Gandaki,Winter,Millet,6892,504,2.55
Karnali,Winter,Rice,2348,753,2.77
Sudurpashchim,Whole Year,Rice,4994,300,2.63
Province 1,Spring,Rice,5395,15,1.63
Province 1,Spring,Mustard,2487,461,5.0
Sudurpashchim,Whole Year,Lentil,428,141,2.52
Bagmati,Summer (Monsoon),Lentil,2309,633,1.65
Province 1,Summer (Monsoon),Wheat,3369,857,0.85
Sudurpashchim,Winter,Barley,5732,462,3.35
Province 1,Whole Year,Wheat,3888,392,2.2
Province 1,Summer (Monsoon),Wheat,5658,938,1.44
Karnali,Whole Year,Millet,3834,534,2.67
Gandaki,Winter,Rice,9881,549,2.51
Lumbini,Whole Year,Maize,6272,885,1.0
Lumbini,Whole Year,Potato,6983,98,2.74
Gandaki,Summer (Monsoon),Maize,5944,826,1.29
Lumbini,Winter,Lentil,3222,744,2.87
Madhesh,Spring,Mustard,889,680,1.21
Sudurpashchim,Whole Year,Wheat,2225,429,4.57
Bagmati,Summer (Monsoon),Mustard,4602,221,1.83
Karnali,Whole Year,Potato,2567,179,0.79
Province 1,Whole Year,Maize,7886,527,2.48
Bagmati,Winter,Wheat,9682,828,4.92
Province 1,Summer (Monsoon),Mustard,7571,842,4.66
Lumbini,Winter,Mustard,3421,540,3.35
Province 1,Spring,Mustard,3336,83,1.57
Province 1,Whole Year,Millet,4877,608,4.13
Sudurpashchim,Spring,Barley,2047,402,1.52
Province 1,Winter,Mustard,8970,498,1.29
Karnali,Winter,Potato,2713,944,2.75
Sudurpashchim,Summer (Monsoon),Potato,6403,360,2.02
Lumbini,Spring,Rice,4671,524,4.97
Bagmati,Spring,Mustard,7944,448,3.27
Province 1,Summer (Monsoon),Rice,6258,289,2.3
Lumbini,Summer (Monsoon),Barley,4704,355,2.09
Bagmati,Whole Year,Maize,3760,131,3.83
Bagmati,Whole Year,Lentil,3976,13,3.49
Karnali,Spring,Potato,8914,201,4.18
Lumbini,Summer (Monsoon),Potato,1898,403,3.18
Province 1,Winter,Maize,1469,97,3.64
Madhesh,Whole Year,Millet,6747,179,3.0
Province 1,Summer (Monsoon),Maize,4543,792,1.69
Province 1,Summer (Monsoon),Barley,9767,149,0.91
Bagmati,Whole Year,Mustard,8530,108,4.82
Gandaki,Spring,Millet,3297,563,1.69
Bagmati,Spring,Wheat,7316,498,4.3
Gandaki,Summer (Monsoon),Potato,6673,860,2.57
Gandaki,Spring,Barley,2938,297,0.58
Madhesh,Whole Year,Rice,6633,789,0.85
Lumbini,Summer (Monsoon),Mustard,9809,997,4.39
Lumbini,Summer (Monsoon),Wheat,3618,71,1.07
Lumbini,Summer (Monsoon),Barley,5712,78,2.1
Sudurpashchim,Whole Year,Wheat,9496,75,3.77
Province 1,Winter,Lentil,4120,178,0.85
Bagmati,Spring,Wheat,926,121,4.68
Bagmati,Summer (Monsoon),Mustard,9066,540,1.85
Province 1,Summer (Monsoon),Maize,2374,838,1.56
Sudurpashchim,Summer (Monsoon),Wheat,1718,990,2.66
Bagmati,Summer (Monsoon),Lentil,3809,516,2.37
Lumbini,Summer (Monsoon),Millet,6409,847,3.51
Lumbini,Winter,Millet,4020,768,2.4
Bagmati,Summer (Monsoon),Wheat,9161,134,0.56
Bagmati,Spring,Mustard,8338,403,1.61
Bagmati,Summer (Monsoon),Mustard,3770,772,2.87
Karnali,Winter,Wheat,963,296,2.0
Madhesh,Whole Year,Mustard,415,247,1.24
Bagmati,Spring,Rice,6653,812,2.63
Lumbini,Spring,Maize,7069,956,1.63
Bagmati,Summer (Monsoon),Lentil,8770,130,4.63
Karnali,Summer (Monsoon),Mustard,1772,533,4.66
Karnali,Summer (Monsoon),Potato,8010,785,3.13
Sudurpashchim,Summer (Monsoon),Millet,3465,795,0.54
Province 1,Winter,Maize,8130,148,2.39
Bagmati,Spring,Wheat,6376,860,3.8
Lumbini,Whole Year,Rice,2843,568,4.44
Bagmati,Winter,Potato,4916,288,2.56
Lumbini,Whole Year,Lentil,1539,731,4.35
Karnali,Spring,Potato,4151,924,1.04
Province 1,Whole Year,Wheat,5717,284,0.62
Karnali,Summer (Monsoon),Rice,9237,197,2.63
Gandaki,Winter,Rice,9501,774,4.63
Gandaki,Winter,Mustard,9566,405,3.07
Gandaki,Summer (Monsoon),Millet,9442,467,3.72
Province 1,Spring,Barley,5905,846,3.55
Madhesh,Summer (Monsoon),Mustard,4691,418,2.77
Bagmati,Summer (Monsoon),Millet,8072,431,1.97
Madhesh,Winter,Lentil,4778,884,4.28
Madhesh,Winter,Mustard,4750,895,1.02
Gandaki,Whole Year,Wheat,4347,459,2.7
Madhesh,Spring,Barley,1384,876,4.17
Karnali,Whole Year,Mustard,3916,506,1.44
Karnali,Winter,Rice,9776,351,4.51
Madhesh,Whole Year,Lentil,4141,7,3.02
Sudurpashchim,Spring,Mustard,8407,897,3.93
Karnali,Summer (Monsoon),Mustard,2179,536,3.85
Lumbini,Summer (Monsoon),Barley,2399,989,1.27
Gandaki,Winter,Maize,6159,747,2.02
Province 1,Winter,Lentil,7740,520,4.08
Bagmati,Winter,Wheat,2235,823,4.25
Province 1,Summer (Monsoon),Potato,6144,648,1.83
Lumbini,Summer (Monsoon),Potato,3581,182,4.93
Province 1,Summer (Monsoon),Lentil,1349,504,2.71
Gandaki,Whole Year,Maize,6610,802,3.57
Bagmati,Whole Year,Lentil,2984,23,1.31
Madhesh,Spring,Mustard,5142,240,4.31
Sudurpashchim,Whole Year,Mustard,2392,462,1.75
Province 1,Summer (Monsoon),Barley,1487,931,0.78
Gandaki,Winter,Potato,8380,707,1.82
Madhesh,Spring,Rice,4744,975,2.43
Province 1,Spring,Mustard,6105,878,1.49
Karnali,Whole Year,Maize,2263,962,3.98
Madhesh,Spring,Rice,7731,777,2.86
Madhesh,Whole Year,Lentil,4202,398,3.07
Gandaki,Summer (Monsoon),Millet,209,990,1.67
Gandaki,Winter,Maize,3383,193,3.58
Lumbini,Summer (Monsoon),Rice,4503,395,3.95
Sudurpashchim,Summer (Monsoon),Wheat,5696,130,4.72
Karnali,Whole Year,Potato,8213,423,4.34
Sudurpashchim,Whole Year,Maize,2693,902,1.09
Karnali,Summer (Monsoon),Barley,5569,497,1.46
Karnali,Spring,Rice,5793,399,4.64
Lumbini,Spring,Potato,1257,146,4.09
Gandaki,Spring,Potato,279,385,2.09
Province 1,Winter,Wheat,6028,572,4.52
Lumbini,Winter,Maize,2885,787,3.61
Madhesh,Spring,Millet,8799,38,4.9
Madhesh,Whole Year,Rice,3494,116,2.79
Gandaki,Summer (Monsoon),Barley,6196,580,3.31
Lumbini,Spring,Maize,6639,137,0.6
Lumbini,Winter,Maize,9585,535,5.0
Lumbini,Spring,Mustard,5233,367,3.84
Gandaki,Spring,Millet,3136,132,1.83
Province 1,Whole Year,Maize,2754,759,1.93
Province 1,Winter,Maize,4446,98,1.99
Province 1,Spring,Millet,9842,765,3.9
Madhesh,Summer (Monsoon),Millet,2617,561,2.56
Gandaki,Summer (Monsoon),Maize,6088,369,3.45
Bagmati,Whole Year,Maize,3851,786,2.47
Gandaki,Winter,Potato,853,199,1.68
Gandaki,Whole Year,Wheat,9507,386,4.34
Lumbini,Summer (Monsoon),Lentil,6450,320,0.85
Sudurpashchim,Summer (Monsoon),Millet,4014,78,1.37
Gandaki,Whole Year,Wheat,5298,317,1.27
Lumbini,Summer (Monsoon),Lentil,1652,141,4.93
Karnali,Whole Year,Wheat,7722,632,2.36
Gandaki,Summer (Monsoon),Rice,6030,688,3.93
Sudurpashchim,Whole Year,Wheat,2194,559,2.97
Lumbini,Winter,Mustard,2889,954,2.4
Gandaki,Winter,Potato,189,2,2.56
Province 1,Summer (Monsoon),Wheat,3355,557,4.45
Karnali,Whole Year,Mustard,232,793,2.6
Madhesh,Winter,Potato,9702,78,2.88
Bagmati,Winter,Mustard,778,39,3.1
Province 1,Winter,Millet,7475,791,2.29
Sudurpashchim,Winter,Potato,6577,366,2.62
Bagmati,Whole Year,Mustard,8158,118,2.11
Province 1,Whole Year,Maize,5395,393,3.51
Bagmati,Winter,Lentil,7936,994,0.86
Lumbini,Whole Year,Millet,7494,597,4.25
Sudurpashchim,Summer (Monsoon),Lentil,4829,909,0.85
Madhesh,Spring,Maize,2738,184,0.81
Gandaki,Winter,Wheat,730,291,1.96
Gandaki,Whole Year,Wheat,8286,225,1.24
Province 1,Summer (Monsoon),Maize,9792,786,3.59
Province 1,Whole Year,Maize,6631,261,3.73
Bagmati,Summer (Monsoon),Barley,1202,654,2.03
Bagmati,Summer (Monsoon),Rice,1048,833,2.47
Lumbini,Summer (Monsoon),Millet,4780,633,2.61
Province 1,Summer (Monsoon),Rice,7279,318,1.79
Province 1,Whole Year,Barley,3602,950,2.99
Lumbini,Winter,Maize,6803,694,2.19
Madhesh,Winter,Mustard,1435,866,4.87
Karnali,Winter,Mustard,3206,557,1.64
Karnali,Summer (Monsoon),Lentil,8403,960,4.27
Province 1,Summer (Monsoon),Rice,298,18,2.14
Madhesh,Winter,Rice,3909,377,1.87
Bagmati,Whole Year,Barley,8511,460,1.82
Bagmati,Winter,Maize,4835,14,4.02
Bagmati,Whole Year,Wheat,1651,449,0.87
Lumbini,Spring,Potato,2180,566,1.48
Gandaki,Winter,Mustard,4200,136,3.25
Bagmati,Winter,Barley,3569,943,2.79
Madhesh,Whole Year,Potato,4773,63,4.15
Bagmati,Summer (Monsoon),Potato,2985,858,4.59
Province 1,Whole Year,Millet,3718,229,4.13
Lumbini,Spring,Barley,405,921,2.02
Gandaki,Whole Year,Lentil,7940,117,1.1
Province 1,Spring,Potato,9487,104,3.25
Lumbini,Winter,Potato,7870,413,1.01
Sudurpashchim,Whole Year,Wheat,9624,458,4.22
Karnali,Winter,Lentil,7204,51,4.34
Province 1,Summer (Monsoon),Maize,9330,787,2.94
Bagmati,Spring,Rice,358,640,1.83
Sudurpashchim,Whole Year,Rice,1519,294,4.59
Bagmati,Summer (Monsoon),Lentil,5909,763,1.78
Bagmati,Whole Year,Barley,5429,384,1.31
Lumbini,Whole Year,Lentil,7963,80,1.82
Karnali,Spring,Mustard,6336,962,1.63
Province 1,Whole Year,Potato,4970,702,1.54
Lumbini,Whole Year,Maize,3406,479,2.16
Sudurpashchim,Summer (Monsoon),Millet,9813,514,3.73
Lumbini,Whole Year,Lentil,9713,365,4.07
Lumbini,Whole Year,Millet,9972,133,1.22
Bagmati,Spring,Barley,3865,957,0.52
Province 1,Winter,Maize,1622,33,4.68
Lumbini,Winter,Wheat,5878,713,0.8
Madhesh,Summer (Monsoon),Maize,1734,503,4.53
